user,hashtag,tweet_id,date
dudnjs0105,알티당_공개,963382930700566528,Tue Feb 13 12:02:44 +0000 2018
usskiteam,olympics,963382694343331840,Tue Feb 13 12:01:47 +0000 2018
fergyrg,woohooo,963382304696446976,Tue Feb 13 12:00:14 +0000 2018
fergyrg,putting,963381005594722304,Tue Feb 13 11:55:05 +0000 2018
Rlagmlwns5,트레크루,963380434129231873,Tue Feb 13 11:52:48 +0000 2018
PaulGerke,Pyeongchang2018,963380410544635904,Tue Feb 13 11:52:43 +0000 2018
vivionr,JO,963379699589238784,Tue Feb 13 11:49:53 +0000 2018
vivionr,pyeongchang2018,963379699589238784,Tue Feb 13 11:49:53 +0000 2018
worldcurling,curling,963379456692793344,Tue Feb 13 11:48:55 +0000 2018
worldcurling,olympics,963379456692793344,Tue Feb 13 11:48:55 +0000 2018
HeatherCoxNBC,AlpineSkiing,963379286907396097,Tue Feb 13 11:48:15 +0000 2018
THELAMA1024,휴대용_선풍기,963379285842018304,Tue Feb 13 11:48:15 +0000 2018
THELAMA1024,최애,963379285842018304,Tue Feb 13 11:48:15 +0000 2018
THELAMA1024,활,963379285842018304,Tue Feb 13 11:48:15 +0000 2018
THELAMA1024,더보이즈,963379285842018304,Tue Feb 13 11:48:15 +0000 2018
THELAMA1024,심심해,963379285842018304,Tue Feb 13 11:48:15 +0000 2018
gomfarm,평창동계올림픽,963378764897050625,Tue Feb 13 11:46:10 +0000 2018
gomfarm,올림픽파크,963378764897050625,Tue Feb 13 11:46:10 +0000 2018
gomfarm,퍼레이드,963378764897050625,Tue Feb 13 11:46:10 +0000 2018
HockeyMaven1917,pyeongchang2018,963378289573355521,Tue Feb 13 11:44:17 +0000 2018
ohmyjunsu,shorttrack,963378012426141697,Tue Feb 13 11:43:11 +0000 2018
ohmyjunsu,teamcanada,963378012426141697,Tue Feb 13 11:43:11 +0000 2018
heiman225,notthempc,963377862802903045,Tue Feb 13 11:42:35 +0000 2018
heiman225,mygettyoffice,963377862802903045,Tue Feb 13 11:42:35 +0000 2018
heiman225,pyeongchang2018,963377862802903045,Tue Feb 13 11:42:35 +0000 2018
heiman225,gettyatthegames,963377862802903045,Tue Feb 13 11:42:35 +0000 2018
heiman225,puppy,963377862802903045,Tue Feb 13 11:42:35 +0000 2018
heiman225,kitten,963377862802903045,Tue Feb 13 11:42:35 +0000 2018
heiman225,sunset,963377862802903045,Tue Feb 13 11:42:35 +0000 2018
heiman225,bikini,963377862802903045,Tue Feb 13 11:42:35 +0000 2018
nicopietran,pyeonchang2018,963377669587877888,Tue Feb 13 11:41:49 +0000 2018
nicopietran,curlingfinal,963377669587877888,Tue Feb 13 11:41:49 +0000 2018
BrigitteMarcoux,rces,963377126194872320,Tue Feb 13 11:39:40 +0000 2018
reedNews3LV,USMilitary,963377107102449664,Tue Feb 13 11:39:35 +0000 2018
reedNews3LV,BestofUS,963377107102449664,Tue Feb 13 11:39:35 +0000 2018
reedNews3LV,OLYMPICS,963377107102449664,Tue Feb 13 11:39:35 +0000 2018
ic_jt_,pyeongchang2018,963376871101562880,Tue Feb 13 11:38:39 +0000 2018
reedNews3LV,USMilitary,963376719615868929,Tue Feb 13 11:38:03 +0000 2018
reedNews3LV,BestofUS,963376719615868929,Tue Feb 13 11:38:03 +0000 2018
reedNews3LV,OLYMPICS,963376719615868929,Tue Feb 13 11:38:03 +0000 2018
GioCope,PeyongChang2018,963376672891457536,Tue Feb 13 11:37:52 +0000 2018
reedNews3LV,USMilitary,963376452463771649,Tue Feb 13 11:36:59 +0000 2018
reedNews3LV,BestofUS,963376452463771649,Tue Feb 13 11:36:59 +0000 2018
reedNews3LV,OLYMPICS,963376452463771649,Tue Feb 13 11:36:59 +0000 2018
edwin_peek,Kerkhof,963376308314169344,Tue Feb 13 11:36:25 +0000 2018
edwin_peek,shorttrack,963376308314169344,Tue Feb 13 11:36:25 +0000 2018
edwin_peek,Christie,963376308314169344,Tue Feb 13 11:36:25 +0000 2018
