user,mention,tweet_id,date
sariisj_15,hightaec,963415433511624705,Tue Feb 13 14:11:53 +0000 2018
naimit85,SUNGJINOPPA,963415396698255360,Tue Feb 13 14:11:44 +0000 2018
newra1293,ahnjahleel,963415357858828288,Tue Feb 13 14:11:35 +0000 2018
10yeyoung9,suebfhe,963415322093998080,Tue Feb 13 14:11:26 +0000 2018
10yeyoung9,weareoneEXO,963415322093998080,Tue Feb 13 14:11:26 +0000 2018
jpballeux,rdimatin,963415240892235776,Tue Feb 13 14:11:07 +0000 2018
SILVER_EX9,suebfhe,963415223259443200,Tue Feb 13 14:11:03 +0000 2018
SILVER_EX9,weareoneEXO,963415223259443200,Tue Feb 13 14:11:03 +0000 2018
WFLAAnnie,TeamUSA,963415090287452162,Tue Feb 13 14:10:31 +0000 2018
exoChanBaek0263,suebfhe,963415084562132994,Tue Feb 13 14:10:30 +0000 2018
exoChanBaek0263,weareoneEXO,963415084562132994,Tue Feb 13 14:10:30 +0000 2018
mG5DJEFNk7r1qKn,Army49333395,963415001955409921,Tue Feb 13 14:10:10 +0000 2018
mG5DJEFNk7r1qKn,BTS_KR_VOTE,963415001955409921,Tue Feb 13 14:10:10 +0000 2018
mG5DJEFNk7r1qKn,BTS_twt,963415001955409921,Tue Feb 13 14:10:10 +0000 2018
mG5DJEFNk7r1qKn,BTS_twt,963415001955409921,Tue Feb 13 14:10:10 +0000 2018
mG5DJEFNk7r1qKn,BTS,963415001955409921,Tue Feb 13 14:10:10 +0000 2018
mG5DJEFNk7r1qKn,bangtan,963415001955409921,Tue Feb 13 14:10:10 +0000 2018
longleysunsport,LeslieBeach29,963414961492869120,Tue Feb 13 14:10:00 +0000 2018
boomhung,redparco,963414925036077056,Tue Feb 13 14:09:52 +0000 2018
iyyi127,YouTube,963414887119622144,Tue Feb 13 14:09:43 +0000 2018
longpig_recipe,cyp_bot_list,963414886574301184,Tue Feb 13 14:09:42 +0000 2018
a54e0323f41841d,hjpaak,963414730923651072,Tue Feb 13 14:09:05 +0000 2018
Army49333395,BTSencourage,963414687697141760,Tue Feb 13 14:08:55 +0000 2018
Army49333395,BTS_twt,963414687697141760,Tue Feb 13 14:08:55 +0000 2018
Army49333395,BTS_twt,963414687697141760,Tue Feb 13 14:08:55 +0000 2018
Army49333395,BTS,963414687697141760,Tue Feb 13 14:08:55 +0000 2018
Army49333395,bangtan,963414687697141760,Tue Feb 13 14:08:55 +0000 2018
Army49333395,BTS_KR_VOTE,963414440770064384,Tue Feb 13 14:07:56 +0000 2018
Army49333395,BTS_twt,963414440770064384,Tue Feb 13 14:07:56 +0000 2018
Army49333395,BTS_twt,963414440770064384,Tue Feb 13 14:07:56 +0000 2018
Army49333395,BTS,963414440770064384,Tue Feb 13 14:07:56 +0000 2018
Army49333395,bangtan,963414440770064384,Tue Feb 13 14:07:56 +0000 2018
super_norge,lady_kinn,963414407324819456,Tue Feb 13 14:07:48 +0000 2018
kink09123,cj9854,963414339897012224,Tue Feb 13 14:07:32 +0000 2018
tiktaec16729,hightaec,963414227670114304,Tue Feb 13 14:07:05 +0000 2018
ryujiyeom,hightaec,963414122380525569,Tue Feb 13 14:06:40 +0000 2018
lbr72332966,redparco,963413863243833344,Tue Feb 13 14:05:39 +0000 2018
BraveRebelxx,Gabrycjusz,963413792930574336,Tue Feb 13 14:05:22 +0000 2018
BraveRebelxx,polvroidx,963413792930574336,Tue Feb 13 14:05:22 +0000 2018
longpig_recipe,Clive_Headliner,963413785988907008,Tue Feb 13 14:05:20 +0000 2018
jypnatioff,hightaec,963413725590953984,Tue Feb 13 14:05:06 +0000 2018
101iswannaone,WannaOne_twt,963413544627707905,Tue Feb 13 14:04:23 +0000 2018
mylovevienna,scmoa_kr,963413476176666624,Tue Feb 13 14:04:06 +0000 2018
minjee24835561,melody_yein12,963413222215725057,Tue Feb 13 14:03:06 +0000 2018
bradbirling,MetroStateSM,963413178901131269,Tue Feb 13 14:02:55 +0000 2018
bradbirling,msudenver,963413178901131269,Tue Feb 13 14:02:55 +0000 2018
iamjoonlee,carychowESPN,963413075373125632,Tue Feb 13 14:02:31 +0000 2018
LeeW_Sport,jasondlp,963413037729300480,Tue Feb 13 14:02:22 +0000 2018
kisinsagume398,morugessoyo_bot,963412625185849346,Tue Feb 13 14:00:43 +0000 2018
tomato_ag_shura,morugessoyo_bot,963412608157020161,Tue Feb 13 14:00:39 +0000 2018
drhong21,ppptec,963412536409255936,Tue Feb 13 14:00:22 +0000 2018
ssbum381,cj9854,963412523415257088,Tue Feb 13 14:00:19 +0000 2018
15mikarin,hightaec,963412427084783618,Tue Feb 13 13:59:56 +0000 2018
DonnieDoesWorld,johncurley8,963412422332530689,Tue Feb 13 13:59:55 +0000 2018
lhj0208,my_miracle_1102,963412372680421376,Tue Feb 13 13:59:43 +0000 2018
khsad67,ppptec,963412231999246336,Tue Feb 13 13:59:10 +0000 2018
jpballeux,rdimasson,963412227138109440,Tue Feb 13 13:59:08 +0000 2018
jpballeux,BourqueOlivier,963412227138109440,Tue Feb 13 13:59:08 +0000 2018
jpballeux,martine_defoy,963412227138109440,Tue Feb 13 13:59:08 +0000 2018
jpballeux,mariloulamontag,963412227138109440,Tue Feb 13 13:59:08 +0000 2018
jpballeux,AAStArnaud,963412227138109440,Tue Feb 13 13:59:08 +0000 2018
khsad67,ppptec,963412147723165697,Tue Feb 13 13:58:50 +0000 2018
katielauriss,AlexGoughLuge,963412136247541761,Tue Feb 13 13:58:47 +0000 2018
tiawcool,hightaec,963412062679347201,Tue Feb 13 13:58:29 +0000 2018
tiawcool,taeccool,963412062679347201,Tue Feb 13 13:58:29 +0000 2018
tiawcool,hightaec,963412001656471553,Tue Feb 13 13:58:15 +0000 2018
mikeharriscurls,Krismunk,963411977262399488,Tue Feb 13 13:58:09 +0000 2018
mikeharriscurls,CBCOlympics,963411977262399488,Tue Feb 13 13:58:09 +0000 2018
mikeharriscurls,joaniemccusker,963411977262399488,Tue Feb 13 13:58:09 +0000 2018
akk_Tang,plam388,963411922430259200,Tue Feb 13 13:57:56 +0000 2018
candy_Daehwi,Luminous_daehwi,963411759779348480,Tue Feb 13 13:57:17 +0000 2018
riniund,hightaec,963411737490866176,Tue Feb 13 13:57:12 +0000 2018
newsjean,chloekimsnow,963411670948241414,Tue Feb 13 13:56:56 +0000 2018
momoharu46,Arete_b,963411582360289280,Tue Feb 13 13:56:35 +0000 2018
sasaek,hjpaak,963411532481683456,Tue Feb 13 13:56:23 +0000 2018
karinaleblanc,AlexGoughLuge,963411414500106242,Tue Feb 13 13:55:55 +0000 2018
missfara,hightaec,963411302168211456,Tue Feb 13 13:55:28 +0000 2018
najwaeffendy27,hightaec,963411290893967360,Tue Feb 13 13:55:25 +0000 2018
NottsIRC,Nat_Ice_Centre,963411163374485504,Tue Feb 13 13:54:55 +0000 2018
NottsIRC,mjbradders,963411163374485504,Tue Feb 13 13:54:55 +0000 2018
momoharu46,Arete_b,963411060173586432,Tue Feb 13 13:54:30 +0000 2018
2012BTOB_LIGHT,PENIEL_Spring,963410992947388417,Tue Feb 13 13:54:14 +0000 2018
momoharu46,marie_838,963410832058064897,Tue Feb 13 13:53:36 +0000 2018
lhj0208,autumnkook_97,963410820032942080,Tue Feb 13 13:53:33 +0000 2018
FasterSkier,flyingpoint,963410618438029313,Tue Feb 13 13:52:45 +0000 2018
Daniel_gene,lhj0208,963410553766010880,Tue Feb 13 13:52:29 +0000 2018
bunkkyu_dpp,redparco,963410340753977345,Tue Feb 13 13:51:39 +0000 2018
ianlogan_65,sergey_bubka,963410294222438400,Tue Feb 13 13:51:28 +0000 2018
ianlogan_65,iaaforg,963410294222438400,Tue Feb 13 13:51:28 +0000 2018
bunkkyu_dpp,redparco,963410288648142848,Tue Feb 13 13:51:26 +0000 2018
sangnoksu1017,cj9854,963410136256495617,Tue Feb 13 13:50:50 +0000 2018
THELAMA1024,THEBOYZ_0426NEW,963410090316283904,Tue Feb 13 13:50:39 +0000 2018
THELAMA1024,137Fairy,963410090316283904,Tue Feb 13 13:50:39 +0000 2018
bjisjj,bjisjj,963410047630852096,Tue Feb 13 13:50:29 +0000 2018
redfoxlady75,pax1208,963409958929711104,Tue Feb 13 13:50:08 +0000 2018
hightaec,missajumma75,963409869964378113,Tue Feb 13 13:49:46 +0000 2018
hightaec,taeccool,963409869964378113,Tue Feb 13 13:49:46 +0000 2018
curling_coach,jeffstoughton,963409798141128710,Tue Feb 13 13:49:29 +0000 2018
S___chuck,Leehosuk_wife,963409790788661248,Tue Feb 13 13:49:28 +0000 2018
bih3355,Leehosuk_wife,963409691110817792,Tue Feb 13 13:49:04 +0000 2018
longpig_recipe,Clive_Headliner,963409670965624838,Tue Feb 13 13:48:59 +0000 2018
Giant_bicycle,drhong21,963409598316032001,Tue Feb 13 13:48:42 +0000 2018
danylemay_,AryFonta,963409513570332673,Tue Feb 13 13:48:21 +0000 2018
danylemay_,yaravkerkhof,963409513570332673,Tue Feb 13 13:48:21 +0000 2018
danylemay_,kimbtin,963409513570332673,Tue Feb 13 13:48:21 +0000 2018
NickHopeTV,Tattersky,963409424915165184,Tue Feb 13 13:48:00 +0000 2018
NickHopeTV,BBCDavidMcDaid,963409424915165184,Tue Feb 13 13:48:00 +0000 2018
taec_fa,hightaec,963409314638528512,Tue Feb 13 13:47:34 +0000 2018
lhj0208,my_miracle_1102,963409288940068870,Tue Feb 13 13:47:28 +0000 2018
THELAMA1024,THEBOYZ_0426NEW,963409202583543809,Tue Feb 13 13:47:07 +0000 2018
THELAMA1024,137Fairy,963409202583543809,Tue Feb 13 13:47:07 +0000 2018
mcgregor_todd,RealVicCruz,963409189094789122,Tue Feb 13 13:47:04 +0000 2018
reporterklein,Eurosport_DE,963409146027524097,Tue Feb 13 13:46:54 +0000 2018
THELAMA1024,137Fairy,963408720846712832,Tue Feb 13 13:45:12 +0000 2018
THELAMA1024,THEBOYZ_0426NEW,963408720846712832,Tue Feb 13 13:45:12 +0000 2018
park7301,cj9854,963408716518236165,Tue Feb 13 13:45:11 +0000 2018
mcgregor_todd,Mike_Pro_UIU,963408624751169536,Tue Feb 13 13:44:50 +0000 2018
mcgregor_todd,docmidnite2,963408624751169536,Tue Feb 13 13:44:50 +0000 2018
mcgregor_todd,jakkicowley,963408624751169536,Tue Feb 13 13:44:50 +0000 2018
mcgregor_todd,ChrisCuomo,963408624751169536,Tue Feb 13 13:44:50 +0000 2018
garvinthomas,nbc,963408584846356480,Tue Feb 13 13:44:40 +0000 2018
hightaec,taeccool,963408583231660032,Tue Feb 13 13:44:40 +0000 2018
siddie_style,hightaec,963408390033739776,Tue Feb 13 13:43:54 +0000 2018
siddie_style,taeccool,963408390033739776,Tue Feb 13 13:43:54 +0000 2018
schubertiade14,ppptec,963408342658965504,Tue Feb 13 13:43:42 +0000 2018
92_Hyunny_k,SUNGJINOPPA,963408280625152002,Tue Feb 13 13:43:28 +0000 2018
nrarmour,WillGravesAP,963408171887771648,Tue Feb 13 13:43:02 +0000 2018
jjbmail,cj9854,963408091868901376,Tue Feb 13 13:42:43 +0000 2018
Ijingyu,ma_max03,963407973144866816,Tue Feb 13 13:42:14 +0000 2018
lhj0208,Jackeun2,963407880509562886,Tue Feb 13 13:41:52 +0000 2018
geseyo_,Leehosuk_wife,963407745801048066,Tue Feb 13 13:41:20 +0000 2018
THELAMA1024,137Fairy,963407740277112832,Tue Feb 13 13:41:19 +0000 2018
THELAMA1024,THEBOYZ_0426NEW,963407740277112832,Tue Feb 13 13:41:19 +0000 2018
HausborgDR,torbenyj,963407726796656640,Tue Feb 13 13:41:15 +0000 2018
gorikagorikago,YoshikoS,963407608697651200,Tue Feb 13 13:40:47 +0000 2018
dugpwjd01,H89_K68,963407571448025089,Tue Feb 13 13:40:38 +0000 2018
hightaec,missajumma75,963407542842941440,Tue Feb 13 13:40:32 +0000 2018
hightaec,taeccool,963407542842941440,Tue Feb 13 13:40:32 +0000 2018
odeo2487,ppptec,963407368481521665,Tue Feb 13 13:39:50 +0000 2018
nrarmour,RachelAxon,963407360927547393,Tue Feb 13 13:39:48 +0000 2018
nrarmour,shaunwhite,963407360927547393,Tue Feb 13 13:39:48 +0000 2018
garvinthomas,BeasomONE,963407359799263232,Tue Feb 13 13:39:48 +0000 2018
redfoxlady75,JINSUK_85,963407331177349120,Tue Feb 13 13:39:41 +0000 2018
missfara,hightaec,963407257986723841,Tue Feb 13 13:39:24 +0000 2018
missfara,taeccool,963407257986723841,Tue Feb 13 13:39:24 +0000 2018
jjbmail,cj9854,963407029862674432,Tue Feb 13 13:38:29 +0000 2018
THELAMA1024,THEBOYZ_0426NEW,963406956059811840,Tue Feb 13 13:38:12 +0000 2018
THELAMA1024,137Fairy,963406956059811840,Tue Feb 13 13:38:12 +0000 2018
d8cXZ0fD35BpNg8,vblue030,963406858512842752,Tue Feb 13 13:37:48 +0000 2018
hightaec,taeccool,963406849373454336,Tue Feb 13 13:37:46 +0000 2018
mcgregor_todd,libertyposse,963406833934327808,Tue Feb 13 13:37:43 +0000 2018
mcgregor_todd,kadkins000,963406833934327808,Tue Feb 13 13:37:43 +0000 2018
mcgregor_todd,krassenstein,963406833934327808,Tue Feb 13 13:37:43 +0000 2018
tariqpanja,AndrewDasNYT,963406771279843329,Tue Feb 13 13:37:28 +0000 2018
THELAMA1024,137Fairy,963406722055397376,Tue Feb 13 13:37:16 +0000 2018
THELAMA1024,THEBOYZ_0426NEW,963406722055397376,Tue Feb 13 13:37:16 +0000 2018
AaronNolanNews,joemoeller44,963406571127521281,Tue Feb 13 13:36:40 +0000 2018
AaronNolanNews,erincargile,963406571127521281,Tue Feb 13 13:36:40 +0000 2018
AaronNolanNews,KSEE24,963406571127521281,Tue Feb 13 13:36:40 +0000 2018
nulimen1,ppptec,963406537967394818,Tue Feb 13 13:36:32 +0000 2018
pgG4dPhrfiFXkfR,ppptec,963406523383742465,Tue Feb 13 13:36:29 +0000 2018
THELAMA1024,THEBOYZ_0426NEW,963406277685657600,Tue Feb 13 13:35:30 +0000 2018
